week,team,elo_pre_week
1,SEA,1643.35
1,DEN,1594.74
1,NE,1592.82
1,HOU,1581.66
1,BUF,1579.0
1,LA,1577.37
1,SF,1559.23
1,PHI,1556.38
1,JAX,1545.27
1,MIN,1544.87
1,DET,1543.71
1,LAC,1533.59
1,CHI,1531.36
1,PIT,1521.57
1,GB,1519.13
1,BAL,1518.16
1,ATL,1493.61
1,KC,1481.27
1,TB,1476.89
1,DAL,1474.77
1,MIA,1474.73
1,IND,1472.33
1,CIN,1467.06
1,WAS,1466.83
1,CAR,1457.76
1,NO,1451.63
1,CLE,1437.71
1,NYG,1419.34
1,NYJ,1401.98
1,ARI,1398.83
1,TEN,1391.9
1,LV,1390.38
2,SEA,1658.13
2,DEN,1570.69
2,NE,1578.03
2,HOU,1559.09
2,BUF,1601.57
2,LA,1553.93
2,SF,1582.67
2,PHI,1569.14
2,JAX,1557.14
2,MIN,1561.0
2,DET,1556.34
2,LAC,1504.2
2,CHI,1549.55
2,PIT,1537.59
2,GB,1503.0
2,BAL,1537.95
2,ATL,1477.6
2,KC,1505.32
2,TB,1458.75
2,DAL,1454.01
2,MIA,1452.32
2,IND,1452.54
2,CIN,1485.21
2,WAS,1454.07
2,CAR,1439.56
2,NO,1439.0
2,CLE,1425.83
2,NYG,1440.1
2,NYJ,1423.83
2,ARI,1428.22
2,TEN,1370.06
2,LV,1412.79
3,SEA,1658.13
3,DEN,1570.69
3,NE,1578.03
3,HOU,1559.09
3,BUF,1601.57
3,LA,1553.93
3,SF,1582.67
3,PHI,1569.14
3,JAX,1557.14
3,MIN,1561.0
3,DET,1556.34
3,LAC,1504.2
3,CHI,1549.55
3,PIT,1537.59
3,GB,1503.0
3,BAL,1537.95
3,ATL,1477.6
3,KC,1505.32
3,TB,1458.75
3,DAL,1454.01
3,MIA,1452.32
3,IND,1452.54
3,CIN,1485.21
3,WAS,1454.07
3,CAR,1439.56
3,NO,1439.0
3,CLE,1425.83
3,NYG,1440.1
3,NYJ,1423.83
3,ARI,1428.22
3,TEN,1370.06
3,LV,1412.79
4,SEA,1658.13
4,DEN,1570.69
4,NE,1578.03
4,HOU,1559.09
4,BUF,1601.57
4,LA,1553.93
4,SF,1582.67
4,PHI,1569.14
4,JAX,1557.14
4,MIN,1561.0
4,DET,1556.34
4,LAC,1504.2
4,CHI,1549.55
4,PIT,1537.59
4,GB,1503.0
4,BAL,1537.95
4,ATL,1477.6
4,KC,1505.32
4,TB,1458.75
4,DAL,1454.01
4,MIA,1452.32
4,IND,1452.54
4,CIN,1485.21
4,WAS,1454.07
4,CAR,1439.56
4,NO,1439.0
4,CLE,1425.83
4,NYG,1440.1
4,NYJ,1423.83
4,ARI,1428.22
4,TEN,1370.06
4,LV,1412.79
5,SEA,1658.13
5,DEN,1570.69
5,NE,1578.03
5,HOU,1559.09
5,BUF,1601.57
5,LA,1553.93
5,SF,1582.67
5,PHI,1569.14
5,JAX,1557.14
5,MIN,1561.0
5,DET,1556.34
5,LAC,1504.2
5,CHI,1549.55
5,PIT,1537.59
5,GB,1503.0
5,BAL,1537.95
5,ATL,1477.6
5,KC,1505.32
5,TB,1458.75
5,DAL,1454.01
5,MIA,1452.32
5,IND,1452.54
5,CIN,1485.21
5,WAS,1454.07
5,CAR,1439.56
5,NO,1439.0
5,CLE,1425.83
5,NYG,1440.1
5,NYJ,1423.83
5,ARI,1428.22
5,TEN,1370.06
5,LV,1412.79
6,SEA,1658.13
6,DEN,1570.69
6,NE,1578.03
6,HOU,1559.09
6,BUF,1601.57
6,LA,1553.93
6,SF,1582.67
6,PHI,1569.14
6,JAX,1557.14
6,MIN,1561.0
6,DET,1556.34
6,LAC,1504.2
6,CHI,1549.55
6,PIT,1537.59
6,GB,1503.0
6,BAL,1537.95
6,ATL,1477.6
6,KC,1505.32
6,TB,1458.75
6,DAL,1454.01
6,MIA,1452.32
6,IND,1452.54
6,CIN,1485.21
6,WAS,1454.07
6,CAR,1439.56
6,NO,1439.0
6,CLE,1425.83
