week,home_team,away_team,home_wins,away_wins,p_home_win,p_away_win
1,SEA,NE,6333,3667,0.6333,0.3667
1,KC,DEN,4030,5970,0.403,0.597
1,NYG,DAL,4749,5251,0.4749,0.5251
1,PHI,WAS,6843,3157,0.6843,0.3157
1,MIN,GB,5896,4104,0.5896,0.4104
1,LAC,ARI,7298,2702,0.7298,0.2702
1,TEN,NYJ,5458,4542,0.5458,0.4542
1,PIT,ATL,5980,4020,0.598,0.402
1,LV,MIA,4408,5592,0.4408,0.5592
1,IND,BAL,4954,5046,0.4954,0.5046
1,HOU,BUF,5636,4364,0.5636,0.4364
1,DET,NO,6836,3164,0.6836,0.3164
1,CIN,TB,5460,4540,0.546,0.454
1,CAR,CHI,4515,5485,0.4515,0.5485
1,LA,SF,5901,4099,0.5901,0.4099
1,JAX,CLE,7051,2949,0.7051,0.2949
2,DEN,JAX,6377,3623,0.6377,0.3623
2,LA,NYG,7529,2471,0.7529,0.2471
2,KC,IND,5775,4225,0.5775,0.4225
2,SF,MIA,6657,3343,0.6657,0.3343
2,DAL,WAS,5694,4306,0.5694,0.4306
2,LAC,LV,7391,2609,0.7391,0.2609
2,TEN,PHI,3387,6613,0.3387,0.6613
2,ARI,SEA,2440,7560,0.244,0.756
2,NYJ,GB,3921,6079,0.3921,0.6079
2,NE,PIT,6532,3468,0.6532,0.3468
2,HOU,CIN,6999,3001,0.6999,0.3001
2,CHI,MIN,5465,4535,0.5465,0.4535
2,BAL,NO,6597,3403,0.6597,0.3403
2,ATL,CAR,6105,3895,0.6105,0.3895
2,BUF,DET,6139,3861,0.6139,0.3861
2,TB,CLE,6177,3823,0.6177,0.3823
3,CHI,PHI,5296,4704,0.5296,0.4704
3,DEN,LA,5808,4192,0.5808,0.4192
3,NO,LV,6362,3638,0.6362,0.3638
3,DAL,BAL,4983,5017,0.4983,0.5017
3,TB,MIN,4740,5260,0.474,0.526
3,SF,ARI,7615,2385,0.7615,0.2385
3,WAS,SEA,3218,6782,0.3218,0.6782
3,PIT,CIN,6387,3613,0.6387,0.3613
3,NYG,TEN,5910,4090,0.591,0.409
3,JAX,NE,4923,5077,0.4923,0.5077
3,IND,HOU,4104,5896,0.4104,0.5896
3,DET,NYJ,7435,2565,0.7435,0.2565
3,CLE,CAR,5358,4642,0.5358,0.4642
3,BUF,LAC,6276,3724,0.6276,0.3724
3,GB,ATL,5925,4075,0.5925,0.4075
3,MIA,KC,5501,4499,0.5501,0.4499
4,TB,GB,4973,5027,0.4973,0.5027
4,CAR,DET,4391,5609,0.4391,0.5609
4,SF,DEN,5176,4824,0.5176,0.4824
4,SEA,LAC,7076,2924,0.7076,0.2924
4,LV,KC,4260,5740,0.426,0.574
4,MIN,MIA,6598,3402,0.6598,0.3402
4,PHI,LA,5281,4719,0.5281,0.4719
4,NO,ATL,4892,5108,0.4892,0.5108
4,HOU,DAL,6938,3062,0.6938,0.3062
4,CIN,JAX,4429,5571,0.4429,0.5571
4,CHI,NYJ,7249,2751,0.7249,0.2751
4,BUF,NE,5372,4628,0.5372,0.4628
4,BAL,TEN,7214,2786,0.7214,0.2786
4,WAS,IND,5563,4437,0.5563,0.4437
4,CLE,PIT,4391,5609,0.4391,0.5609
4,NYG,ARI,5878,4122,0.5878,0.4122
5,LA,BUF,5531,4469,0.5531,0.4469
5,ATL,BAL,5249,4751,0.5249,0.4751
5,SEA,SF,6672,3328,0.6672,0.3328
5,GB,CHI,5421,4579,0.5421,0.4579
5,ARI,DET,3622,6378,0.3622,0.6378
5,LAC,DEN,4727,5273,0.4727,0.5273
5,WAS,NYG,6240,3760,0.624,0.376
5,PIT,IND,6295,3705,0.6295,0.3705
5,NYJ,CLE,5078,4922,0.5078,0.4922
5,NO,MIN,4300,5700,0.43,0.57
5,NE,LV,7998,2002,0.7998,0.2002
5,MIA,CIN,5741,4259,0.5741,0.4259
5,JAX,PHI,5463,4537,0.5463,0.4537
5,DAL,TB,5494,4506,0.5494,0.4506
5,TEN,HOU,3128,6872,0.3128,0.6872
6,TB,PIT,4899,5101,0.4899,0.5101
6,SF,WAS,6748,3252,0.6748,0.3252
6,LV,BUF,3045,6955,0.3045,0.6955
6,KC,LAC,4941,5059,0.4941,0.5059
6,LA,ARI,7748,2252,0.7748,0.2252
6,PHI,CAR,6847,3153,0.6847,0.3153
6,GB,DAL,6209,3791,0.6209,0.3791
6,NE,NYJ,7904,2096,0.7904,0.2096
6,IND,TEN,6620,3380,0.662,0.338
6,CLE,BAL,4443,5557,0.4443,0.5557
6,ATL,CHI,5030,4970,0.503,0.497
6,JAX,HOU,5140,4860,0.514,0.486
6,DEN,SEA,4881,5119,0.4881,0.5119
6,NYG,NO,5145,4855,0.5145,0.4855
7,SEA,KC,7574,2426,0.7574,0.2426
7,LV,LA,3087,6913,0.3087,0.6913
7,DET,GB,5937,4063,0.5937,0.4063
7,ARI,DEN,2960,7040,0.296,0.704
7,TEN,CLE,4996,5004,0.4996,0.5004
7,NYJ,MIA,4546,5454,0.4546,0.5454
7,PHI,DAL,6646,3354,0.6646,0.3354
7,HOU,NYG,7609,2391,0.7609,0.2391
7,CAR,TB,5348,4652,0.5348,0.4652
7,BAL,CIN,6263,3737,0.6263,0.3737
7,ATL,SF,4636,5364,0.4636,0.5364
7,NO,PIT,4567,5433,0.4567,0.5433
7,CHI,NE,4758,5242,0.4758,0.5242
7,MIN,IND,6526,3474,0.6526,0.3474
8,SEA,CHI,6953,3047,0.6953,0.3047
8,WAS,PHI,4393,5607,0.4393,0.5607
8,MIA,NE,3869,6131,0.3869,0.6131
8,DEN,KC,7024,2976,0.7024,0.2976
8,LA,LAC,6231,3769,0.6231,0.3769
8,TB,ATL,5327,4673,0.5327,0.4673
8,PIT,CLE,6741,3259,0.6741,0.3259
8,NYJ,LV,5781,4219,0.5781,0.4219
8,DET,MIN,5560,4440,0.556,0.444
8,DAL,ARI,6651,3349,0.6651,0.3349
8,CIN,TEN,6546,3454,0.6546,0.3454
8,BUF,BAL,6415,3585,0.6415,0.3585
8,GB,CAR,6392,3608,0.6392,0.3608
8,JAX,IND,6527,3473,0.6527,0.3473
9,WAS,LA,4087,5913,0.4087,0.5913
9,CHI,TB,6376,3624,0.6376,0.3624
9,SEA,ARI,8300,1700,0.83,0.17
9,NE,GB,6671,3329,0.6671,0.3329
9,SF,LV,7643,2357,0.7643,0.2357
9,LAC,HOU,4935,5065,0.4935,0.5065
9,PHI,NYG,7318,2682,0.7318,0.2682
9,MIN,BUF,5126,4874,0.5126,0.4874
9,MIA,DET,4601,5399,0.4601,0.5399
9,BAL,JAX,5112,4888,0.5112,0.4888
9,ATL,CIN,5910,4090,0.591,0.409
9,NO,CLE,5773,4227,0.5773,0.4227
9,IND,DAL,5473,4527,0.5473,0.4527
9,KC,NYJ,6720,3280,0.672,0.328
9,CAR,DEN,3692,6308,0.3692,0.6308
10,BAL,LAC,5357,4643,0.5357,0.4643
10,CIN,PIT,4738,5262,0.4738,0.5262
10,DAL,SF,4455,5545,0.4455,0.5545
10,LV,SEA,2340,7660,0.234,0.766
10,ARI,LA,3178,6822,0.3178,0.6822
10,NYJ,BUF,3191,6809,0.3191,0.6809
10,TEN,JAX,3567,6433,0.3567,0.6433
10,IND,MIA,5598,4402,0.5598,0.4402
10,GB,MIN,5196,4804,0.5196,0.4804
10,CLE,HOU,3584,6416,0.3584,0.6416
10,ATL,KC,5786,4214,0.5786,0.4214
10,DET,NE,4868,5132,0.4868,0.5132
10,NYG,WAS,4924,5076,0.4924,0.5076
10,NO,CAR,5554,4446,0.5554,0.4446
11,LAC,NYJ,7309,2691,0.7309,0.2691
11,WAS,CIN,5525,4475,0.5525,0.4475
11,SF,MIN,5736,4264,0.5736,0.4264
11,PHI,PIT,5959,4041,0.5959,0.4041
11,DEN,LV,7945,2055,0.7945,0.2055
11,NYG,JAX,3867,6133,0.3867,0.6133
11,BUF,MIA,6947,3053,0.6947,0.3053
11,DET,TB,6500,3500,0.65,0.35
11,DAL,TEN,6717,3283,0.6717,0.3283
11,CHI,NO,6619,3381,0.6619,0.3381
11,CAR,BAL,4771,5229,0.4771,0.5229
11,HOU,IND,6917,3083,0.6917,0.3083
11,KC,ARI,6671,3329,0.6671,0.3329
12,MIA,NYJ,6544,3456,0.6544,0.3456
12,LAC,NE,4776,5224,0.4776,0.5224
12,SF,SEA,4422,5578,0.4422,0.5578
12,ARI,WAS,4633,5367,0.4633,0.5367
12,TB,CAR,5838,4162,0.5838,0.4162
12,JAX,TEN,7448,2552,0.7448,0.2552
12,MIN,ATL,6200,3800,0.62,0.38
12,IND,NYG,6242,3758,0.6242,0.3758
12,BUF,KC,6839,3161,0.6839,0.3161
12,CLE,LV,6142,3858,0.6142,0.3858
12,HOU,BAL,6330,3670,0.633,0.367
12,LA,GB,6342,3658,0.6342,0.3658
12,DET,CHI,5727,4273,0.5727,0.4273
12,PIT,DEN,4555,5445,0.4555,0.5445
12,DAL,PHI,4454,5546,0.4454,0.5546
12,CIN,NO,5818,4182,0.5818,0.4182
13,ARI,PHI,3448,6552,0.3448,0.6552
13,SEA,DAL,7640,2360,0.764,0.236
13,PIT,HOU,4756,5244,0.4756,0.5244
13,NE,BUF,5797,4203,0.5797,0.4203
13,MIN,CAR,6716,3284,0.6716,0.3284
13,DEN,MIA,7091,2909,0.7091,0.2909
13,TEN,WAS,4562,5438,0.4562,0.5438
13,TB,LAC,4834,5166,0.4834,0.5166
13,NO,GB,4643,5357,0.4643,0.5357
13,CLE,CIN,5102,4898,0.5102,0.4898
13,CHI,JAX,5403,4597,0.5403,0.4597
13,ATL,DET,4879,5121,0.4879,0.5121
13,LA,KC,6760,3240,0.676,0.324
13,NYG,SF,3730,6270,0.373,0.627
14,JAX,PIT,5840,4160,0.584,0.416
14,GB,BUF,4795,5205,0.4795,0.5205
14,SF,LA,5292,4708,0.5292,0.4708
14,SEA,NYG,8089,1911,0.8089,0.1911
14,CIN,KC,5416,4584,0.5416,0.4584
14,LV,LAC,3608,6392,0.3608,0.6392
14,WAS,HOU,3995,6005,0.3995,0.6005
14,PHI,IND,6522,3478,0.6522,0.3478
14,MIA,CHI,4781,5219,0.4781,0.5219
14,DET,TEN,7356,2644,0.7356,0.2644
14,CLE,ATL,4783,5217,0.4783,0.5217
14,CAR,NO,5630,4370,0.563,0.437
14,BAL,TB,6127,3873,0.6127,0.3873
14,NE,MIN,6292,3708,0.6292,0.3708
14,NYJ,DEN,2975,7025,0.2975,0.7025
15,KC,NE,4044,5956,0.4044,0.5956
15,MIN,DET,5593,4407,0.5593,0.4407
15,LV,DEN,2897,7103,0.2897,0.7103
15,LA,DAL,6859,3141,0.6859,0.3141
15,ARI,NYJ,5577,4423,0.5577,0.4423
15,WAS,ATL,5224,4776,0.5224,0.4776
15,TEN,IND,4468,5532,0.4468,0.5532
15,TB,NO,5756,4244,0.5756,0.4244
15,PIT,BAL,5594,4406,0.5594,0.4406
15,NYG,CLE,5358,4642,0.5358,0.4642
15,HOU,JAX,5985,4015,0.5985,0.4015
15,GB,MIA,6256,3744,0.6256,0.3744
15,CAR,CIN,5414,4586,0.5414,0.4586
15,BUF,CHI,6207,3793,0.6207,0.3793
15,PHI,SEA,4392,5608,0.4392,0.5608
15,LAC,SF,5204,4796,0.5204,0.4796
16,DAL,JAX,4666,5334,0.4666,0.5334
16,KC,SF,4509,5491,0.4509,0.5491
16,DET,NYG,7195,2805,0.7195,0.2805
16,PIT,CAR,6493,3507,0.6493,0.3507
16,NYJ,NE,3063,6937,0.3063,0.6937
16,NO,ARI,6351,3649,0.6351,0.3649
16,MIN,WAS,6540,3460,0.654,0.346
16,LV,TEN,5499,4501,0.5499,0.4501
16,IND,CIN,5685,4315,0.5685,0.4315
16,BAL,CLE,6556,3444,0.6556,0.3444
16,ATL,TB,5650,4350,0.565,0.435
16,SEA,LA,6380,3620,0.638,0.362
16,DEN,BUF,5761,4239,0.5761,0.4239
16,CHI,GB,5697,4303,0.5697,0.4303
16,PHI,HOU,5262,4738,0.5262,0.4738
16,MIA,LAC,4678,5322,0.4678,0.5322
17,GB,HOU,4755,5245,0.4755,0.5245
17,SF,PHI,5563,4437,0.5563,0.4437
17,CHI,DET,5386,4614,0.5386,0.4614
17,ARI,LV,5657,4343,0.5657,0.4343
17,TB,LA,4288,5712,0.4288,0.5712
17,NYJ,MIN,3633,6367,0.3633,0.6367
17,NE,DEN,5523,4477,0.5523,0.4477
17,TEN,PIT,3820,6180,0.382,0.618
17,LAC,KC,6244,3756,0.6244,0.3756
17,JAX,WAS,6509,3491,0.6509,0.3491
17,DAL,NYG,6267,3733,0.6267,0.3733
17,CLE,IND,5116,4884,0.5116,0.4884
17,CAR,SEA,3131,6869,0.3131,0.6869
17,ATL,NO,6056,3944,0.6056,0.3944
17,CIN,BAL,4905,5095,0.4905,0.5095
17,MIA,BUF,4177,5823,0.4177,0.5823
18,NO,TB,5149,4851,0.5149,0.4851
18,NE,MIA,7044,2956,0.7044,0.2956
18,MIN,CHI,5753,4247,0.5753,0.4247
18,LA,SEA,4682,5318,0.4682,0.5318
18,KC,LV,6739,3261,0.6739,0.3261
18,IND,JAX,4631,5369,0.4631,0.5369
18,HOU,TEN,7731,2269,0.7731,0.2269
18,CAR,ATL,5075,4925,0.5075,0.4925
18,DEN,LAC,6346,3654,0.6346,0.3654
18,CIN,CLE,5907,4093,0.5907,0.4093
18,BUF,NYJ,7639,2361,0.7639,0.2361
18,BAL,PIT,5540,4460,0.554,0.446
18,ARI,SF,3442,6558,0.3442,0.6558
18,NYG,PHI,3765,6235,0.3765,0.6235
18,GB,DET,5210,4790,0.521,0.479
18,WAS,DAL,5433,4567,0.5433,0.4567
